datetime,game_length,game_result,num_passes,is_resign_disabled,is_marked_for_resign,is_could_won,marked_resign_player,resign_threshold,time_per_game,training_steps
2024-10-16 13:00:26,29,B+0.5,4,True,False,False,,-1,32.2234,0
2024-10-16 13:01:01,50,W+13.5,1,True,False,False,,-1,33.5694,0
2024-10-16 13:01:27,35,B+10.5,2,True,False,False,,-1,31.0499,0
2024-10-16 13:01:56,36,B+R,2,False,False,False,W,-0.88,30.4169,0
2024-10-16 13:02:33,50,W+13.5,4,False,False,False,,-0.88,31.7032,0
2024-10-16 13:02:58,36,B+R,1,False,False,False,W,-0.88,30.5566,0
2024-10-16 13:03:26,50,B+R,0,False,False,False,W,-0.88,30.3124,0
2024-10-16 13:04:05,49,W+R,3,False,False,False,B,-0.88,31.2933,0
2024-10-16 13:04:32,32,B+R,1,False,False,False,W,-0.88,30.8737,0
2024-10-16 13:05:03,45,B+17.5,7,False,False,False,,-0.88,30.8947,0
2024-10-16 13:05:38,39,W+R,3,False,False,False,B,-0.88,31.2627,0
2024-10-16 13:06:12,40,B+R,1,False,False,False,W,-0.88,31.4411,0
2024-10-16 13:06:51,48,B+R,3,False,False,False,W,-0.88,32.0395,0
2024-10-16 13:07:16,27,W+R,2,False,False,False,B,-0.88,31.5824,0
2024-10-16 13:07:46,39,W+R,1,False,False,False,B,-0.88,31.462,0
2024-10-16 13:08:20,48,B+R,4,False,False,False,W,-0.88,31.5778,0
2024-10-16 13:08:57,50,B+R,3,False,False,False,W,-0.88,31.9148,0
2024-10-16 13:09:24,36,B+3.5,5,True,True,False,W,-0.88,31.6715,0
2024-10-16 13:09:54,37,W+R,4,False,False,False,B,-0.88,31.5552,0
2024-10-16 13:10:26,44,B+R,5,False,False,False,W,-0.88,31.5777,0
2024-10-16 13:10:54,42,B+R,3,False,False,False,W,-0.88,31.4302,0
2024-10-16 13:11:21,32,B+R,1,False,False,False,W,-0.88,31.1941,0
2024-10-16 13:11:52,48,B+R,6,False,False,False,W,-0.88,31.2073,0
2024-10-16 13:12:24,31,W+R,2,False,False,False,B,-0.88,31.2465,0
2024-10-16 13:12:57,47,B+12.5,7,True,True,False,W,-0.88,31.2964,0
2024-10-16 13:13:31,49,W+R,3,False,False,False,B,-0.88,31.4271,0
2024-10-16 13:14:01,40,B+R,2,False,False,False,W,-0.88,31.3712,0
2024-10-16 13:14:38,49,W+R,8,False,False,False,B,-0.88,31.5575,0
2024-10-16 13:15:12,49,W+R,6,False,False,False,B,-0.88,31.6528,0
2024-10-16 13:15:44,48,B+R,3,False,False,False,W,-0.88,31.6531,0
2024-10-16 13:16:13,49,W+R,7,False,False,False,B,-0.88,31.5828,0
2024-10-16 13:16:43,42,B+R,5,False,False,False,W,-0.88,31.5187,0
2024-10-16 13:17:10,41,W+R,0,False,False,False,B,-0.88,31.3901,0
2024-10-16 13:17:42,46,B+R,3,False,False,False,W,-0.88,31.3963,0
2024-10-16 13:18:10,47,W+R,4,False,False,False,B,-0.88,31.3144,0
2024-10-16 13:18:43,48,B+R,5,False,False,False,W,-0.88,31.3463,0
2024-10-16 13:19:09,30,B+R,1,False,False,False,W,-0.88,31.2189,0
2024-10-16 13:19:35,40,B+R,5,False,False,False,W,-0.88,31.0707,0
2024-10-16 13:20:01,31,W+R,2,False,False,False,B,-0.88,30.9467,0
2024-10-16 13:20:27,36,B+R,2,False,False,False,W,-0.88,30.8289,0
2024-10-16 13:20:53,46,B+R,5,False,False,False,W,-0.88,30.6959,0
2024-10-16 13:21:22,50,B+R,4,False,False,False,W,-0.88,30.6594,0
2024-10-16 13:21:50,46,B+R,3,False,False,False,W,-0.88,30.5965,0
2024-10-16 13:22:23,49,W+R,4,False,False,False,B,-0.88,30.6481,0
2024-10-16 13:22:48,38,B+R,1,False,False,False,W,-0.88,30.5364,0
2024-10-16 13:23:09,27,B+4.5,2,False,False,False,,-0.88,30.3206,0
2024-10-16 13:23:36,34,B+R,1,False,False,False,W,-0.88,30.2494,0
2024-10-16 13:24:06,47,W+R,3,False,False,False,B,-0.88,30.2383,0
2024-10-16 13:24:34,48,B+R,2,False,False,False,W,-0.88,30.197,0
2024-10-16 13:25:03,48,B+R,3,False,False,False,W,-0.88,30.1782,0
